Symbol,Name,Sector,industry
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
ADVS,"Advent Software, Inc.",Technology,EDP Services
AEGR,"Aegerion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AEGN,Aegion Corp,Basic Industries,Water Supply
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AEPI,AEP Industries Inc.,Capital Goods,Specialty Chemicals
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
ATRM,Aetrium Incorporated,Capital Goods,Electrical Products
AFCE,"AFC Enterprises, Inc.",Consumer Services,Restaurants
AFFX,"Affymetrix, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGYS,"Agilysys, Inc.",Technology,EDP Services
AIRM,Air Methods Corporation,Transportation,Transportation Services
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AMCN,AirMedia Group Inc,Technology,Advertising
AIXG,Aixtron SE,Technology,Industrial Machinery/Components
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
ALCS,"ALCO Stores, Inc.",Consumer Services,Department/Specialty Retail Stores
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALXA,"Alexza Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALLB,"Alliance Bancorp, Inc. of Pennsylvania",Finance,Savings Institutions
AFOP,"Alliance Fiber Optic Products, Inc.",Technology,Semiconductors
AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments
ASDR,ALPS ETF Trust VelocityShares Emerging Asia DR ETF,n/a,n/a
EMDR,ALPS ETF Trust VelocityShares Emerging Markets DR ETF,n/a,n/a
RUDR,ALPS ETF Trust VelocityShares Russia Select DR ETF,n/a,n/a
ALTI,Altair Nanotechnologies Inc.,Basic Industries,Major Chemicals
ALTR,Altera Corporation,Technology,Semiconductors
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
APSA,Alto Palermo S.A.,Consumer Services,Building operators
AIMC,"Altra Holdings, Inc.",Capital Goods,Industrial Machinery/Components
ALVR,Alvarion Ltd.,Public Utilities,Telecommunications Equipment
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation PLC,Health Care,Major Pharmaceuticals
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",Technology,Semiconductors
EPAX,"Ambassadors Group, Inc.",Consumer Services,Other Consumer Services
AMBT,Ambient Corporation,Public Utilities,Telecommunications Equipment
AMBI,Ambit Biosciences Corporation,Health Care,Major Pharmaceuticals
AMCX,AMC Networks Inc.,Consumer Services,Television Services
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
UHAL,Amerco,Consumer Services,Rental/Leasing Companies
ASBI,Ameriana Bancorp,Finance,Savings Institutions
ATAX,"America First Tax Exempt Investors, L.P.",Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AGNC,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts
AGNCP,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts
MTGE,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts
ACAS,"American Capital, Ltd.",n/a,n/a
ANCI,American Caresource Holdings Inc,Health Care,Hospital/Nursing Management
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components
AMIC,American Independence Corp.,Finance,Accident &Health Insurance
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
ANAT,American National Insurance Company,Finance,Life Insurance
APFC,American Pacific Corporation,Basic Industries,Major Chemicals
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads
ARCP,"American Realty Capital Properties, Inc.",Consumer Services,Real Estate Investment Trusts
AMRB,American River Bankshares,Finance,Major Banks
ASEI,"American Science and Engineering, Inc.",Health Care,Medical Electronics
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks
ASCA,"Ameristar Casinos, Inc.",Consumer Services,Hotels/Resorts
ATLO,Ames National Corporation,Finance,Major Banks
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AMSG,Amsurg Corp.,Health Care,Medical/Nursing Services
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
ANAC,"Anacor Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANAD,"ANADIGICS, Inc.",Technology,Semiconductors
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ALOG,Analogic Corporation,Capital Goods,Electrical Products
ANLY,Analysts International Corporation,Technology,EDP Services
ANEN,"Anaren, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
ANCB,Anchor Bancorp,Finance,Banks
AMCF,Andatee China Marine Fuel Services Corporation,Energy,Oil Refining/Marketing
ANDA,Andina Acquisition Corporation,Finance,Business Services
ANDAU,Andina Acquisition Corporation,Finance,Business Services
ANDAW,Andina Acquisition Corporation,Finance,Business Services
ANGI,"Angie&#39;s List, Inc.",Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",n/a,n/a
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APAGF,Apco Oil and Gas International Inc.,Energy,Oil & Gas Production
ATNY,API Technologies Corp.,Technology,Semiconductors
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
APOL,"Apollo Group, Inc.",Consumer Services,Other Consumer Services
AINV,Apollo Investment Corporation,n/a,n/a
AAPL,Apple Inc.,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductors
AREX,Approach Resources Inc.,Energy,Oil & Gas Production
APRI,"Apricus Biosciences, Inc",Health Care,Major Pharmaceuticals
AQU,Aquasition Corp.,Finance,Business Services
AQUUU,Aquasition Corp.,Finance,Business Services
AQUUW,Aquasition Corp.,Finance,Business Services
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",Consumer Services,Telecommunications Equipment
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACAT,Arctic Cat Inc.,Capital Goods,Industrial Specialties
ARDNA,"Arden Group, Inc.",Consumer Services,Food Chains
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,n/a,n/a
AGII,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
AGIIL,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers
ARIA,"ARIAD Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants
ABFS,Arkansas Best Corporation,Transportation,Trucking Freight/Courier Services
ARMH,ARM Holdings plc,Technology,Semiconductors
ARTX,Arotech Corporation,Energy,Industrial Machinery/Components
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals
ARRS,"ARRIS Group, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AROW,Arrow Financial Corporation,Finance,Major Banks
ARWR,Arrowhead Research Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply
ARTC,ArthroCare Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components
ARUN,"Aruba Networks, Inc.",Technology,Computer peripheral equipment
ASBB,"ASB Bancorp, Inc.",Finance,Savings Institutions
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services
ASTI,"Ascent Solar Technologies, Inc.",Technology,Semiconductors
AERL,Asia Entertainment & Resources Ltd,Consumer Services,Services-Misc. Amusement & Recreation
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment
ASIA,"AsiaInfo-Linkage, Inc.",Technology,Computer Software: Prepackaged Software
ASMI,ASM International N.V.,Technology,Industrial Machinery/Components
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components
AZPN,"Aspen Technology, Inc.",Technology,EDP Services
ASBC,Associated Banc-Corp,Finance,Major Banks
ASBCW,Associated Banc-Corp,Finance,Major Banks
ASFI,"Asta Funding, Inc.",Finance,Finance Companies
ATEA,"Astea International, Inc.",Technology,Computer Software: Prepackaged Software
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
ASTX,"Astex Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALOT,"Astro-Med, Inc.",Technology,Computer peripheral equipment
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical
ASTC,Astrotech Corporation,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,Technology,EDP Services
ATAI,ATA Inc.,Consumer Services,Other Consumer Services
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services
AFCB,Athens Bancshares Corporation,Finance,Savings Institutions
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals
AAME,Atlantic American Corporation,Finance,Life Insurance
ACFC,Atlantic Coast Federal Corporation,Finance,Savings Institutions
ATNI,"Atlantic Tele-Network, Inc.",Public Utilities,Telecommunications Equipment
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
ATML,Atmel Corporation,Technology,Semiconductors
ATMI,ATMI Inc.,Basic Industries,Major Chemicals
ATOS,Atossa Genetics Inc.,Health Care,Medical/Dental Instruments
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments
ATRI,ATRION Corporation,Health Care,Medical/Dental Instruments
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks
ADNC,"Audience, Inc.",Technology,Semiconductors
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment
ADAT,Authentidate Holding Corp.,Technology,EDP Services
ABTL,Autobytel Inc.,Technology,"Computer Software: Programming, Data Processing"
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
AMAP,AutoNavi Holdings Limited,Technology,Computer Software: Prepackaged Software
AUXL,"Auxilium Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AVGO,Avago Technologies Limited,Technology,Semiconductors
AVNR,"Avanir Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AVID,"Avid Technology, Inc.",Miscellaneous,Industrial Machinery/Components
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies
AWRE,"Aware, Inc.",Technology,Semiconductors
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
AXTI,AXT Inc,Technology,Semiconductors
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment
BEAV,"B/E Aerospace, Inc.",Consumer Durables,Industrial Specialties
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
BCPC,Balchem Corporation,Basic Industries,Major Chemicals
BWINA,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers
BWINB,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components
BANC,"Banc of California, Inc.",Finance,Major Banks
BANCL,"Banc of California, Inc.",Finance,Major Banks
BANCP,"Banc of California, Inc.",Finance,Major Banks
BANF,BancFirst Corporation,Finance,Major Banks
BANFP,BancFirst Corporation,Finance,Major Banks
BKMU,Bank Mutual Corporation,Finance,Savings Institutions
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks
BMRC,Bank of Marin Bancorp,Finance,Major Banks
BKSC,Bank of South Carolina Corp.,Finance,Major Banks
BOTJ,"Bank of the James Financial Group, Inc.",Finance,Major Banks
OZRK,Bank of the Ozarks,Finance,Major Banks
BFIN,BankFinancial Corporation,Finance,Savings Institutions
BANR,Banner Corporation,Finance,Major Banks
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services
BSET,"Bassett Furniture Industries, Incorporated",Consumer Durables,Home Furnishings
BAXS,"Baxano Surgical, Inc.",Health Care,Medical/Dental Instruments
BV,"Bazaarvoice, Inc.",Technology,Computer Software: Prepackaged Software
BBCN,"BBCN Bancorp, Inc.",Finance,Major Banks
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,Savings Institutions
BCSB,"BCSB Bancorp, Inc.",Finance,Savings Institutions
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,Broadcasting
BEBE,"bebe stores, inc.",Consumer Non-Durables,Apparel
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings
BELFA,Bel Fuse Inc.,Capital Goods,Electrical Products
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products
BNCL,"Beneficial Mutual Bancorp, Inc.",Finance,Savings Institutions
BERK,"Berkshire Bancorp, Inc.",Finance,Major Banks
BGMD,"BG Medicine, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service
BGSC,BGS Acquisition Corp.,Finance,Business Services
BGSCU,BGS Acquisition Corp.,Finance,Business Services
BGSCW,BGS Acquisition Corp.,Finance,Business Services
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores
BASI,"Bioanalytical Systems, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOD,Biodel Inc.,Health Care,Major Pharmaceuticals
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Major Pharmaceuticals
BIOF,BioFuel Energy Corp.,Basic Industries,Major Chemicals
BIIB,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOL,"Biolase, Inc.",Health Care,Medical/Dental Instruments
BLRX,BioLineRx Ltd.,Health Care,Major Pharmaceuticals
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
BRLI,"Bio-Reference Laboratories, Inc.",Health Care,Medical Specialities
BIOS,"BioScrip, Inc.",Health Care,Medical/Nursing Services
BSTC,BioSpecifics Technologies Corp,Health Care,Major Pharmaceuticals
BSPM,"Biostar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
BOTA,"Biota Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDMS,"Birner Dental Management Services, Inc.",Health Care,Medical/Nursing Services
BJRI,"BJ&#39;s Restaurants, Inc.",Consumer Services,Restaurants
BBOX,Black Box Corporation,Technology,Computer Communications Equipment
BDE,"Black Diamond, Inc.",Consumer Non-Durables,Recreational Products/Toys
BLKB,"Blackbaud, Inc.",Technology,Computer Software: Prepackaged Software
BBRY,BlackBerry Limited,Public Utilities,Telecommunications Equipment
HAWK,"Blackhawk Network Holdings, Inc.",Finance,Finance: Consumer Services
BKCC,BlackRock Kelso Capital Corporation,n/a,n/a
ADRA,BLDRS Asia 50 ADR Index Fund,n/a,n/a
ADRD,BLDRS Developed Markets 100 ADR Index Fund,n/a,n/a
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,n/a,n/a
ADRU,BLDRS Europe 100 ADR Index Fund,n/a,n/a
BLMN,"Bloomin&#39; Brands, Inc.",Consumer Services,Restaurants
BCOR,"Blucora, Inc.",Technology,EDP Services
NILE,"Blue Nile, Inc.",Consumer Services,Consumer Specialties
BLUE,"bluebird bio, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKEP,"Blueknight Energy Partners L.P., L.L.C.",Energy,Natural Gas Distribution
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",Energy,Natural Gas Distribution
BPHX,"BluePhoenix Solutions, Ltd.",Technology,EDP Services
BMC,"BMC Software, Inc.",Technology,Computer Software: Prepackaged Software
BNCN,BNC Bancorp,Finance,Major Banks
BOBE,"Bob Evans Farms, Inc.",Consumer Services,Restaurants
BODY,Body Central Corp.,Consumer Services,Clothing/Shoe/Accessory Stores
BOFI,"BofI Holding, Inc.",Finance,Savings Institutions
WIFI,"Boingo Wireless, Inc.",Consumer Services,Telecommunications Equipment
BOKF,BOK Financial Corporation,Finance,Major Banks
BOLT,Bolt Technology Corporation,Energy,Metal Fabrications
BONA,Bona Film Group Limited,Consumer Services,Movies/Entertainment
BNSO,"Bonso Electronics International, Inc.",Capital Goods,Industrial Machinery/Components
BAMM,"Books-A-Million, Inc.",Consumer Services,Other Specialty Stores
BPFH,"Boston Private Financial Holdings, Inc.",Finance,Major Banks
BPFHP,"Boston Private Financial Holdings, Inc.",Finance,Major Banks
BPFHW,"Boston Private Financial Holdings, Inc.",Finance,Major Banks
EPAY,"Bottomline Technologies, Inc.",Technology,Computer Software: Prepackaged Software
BDBD,"Boulder Brands, Inc.",Consumer Non-Durables,Packaged Foods
BBRG,"Bravo Brio Restaurant Group, Inc.",Consumer Services,Restaurants
BBEP,"BreitBurn Energy Partners, L.P.",Energy,Oil & Gas Production
BDGE,"Bridge Bancorp, Inc.",Finance,Major Banks
BBNK,Bridge Capital Holdings,Finance,Major Banks
BLIN          ,"Bridgeline Digital, Inc.",Technology,Computer Software: Prepackaged Software
BRID,Bridgford Foods Corporation,Consumer Non-Durables,Specialty Foods
BCOV,Brightcove Inc.,Technology,EDP Services
BRCM,Broadcom Corporation,Technology,Semiconductors
BSFT,"BroadSoft, Inc.",Technology,Computer Software: Prepackaged Software
BVSN,"BroadVision, Inc.",Technology,Computer Software: Prepackaged Software
BYFC,Broadway Financial Corporation,Finance,Savings Institutions
BWEN,"Broadwind Energy, Inc.",Capital Goods,Metal Fabrications
BRCD,"Brocade Communications Systems, Inc.",Technology,Computer peripheral equipment
BRKL,"Brookline Bancorp, Inc.",Finance,Savings Institutions
BRKS,"Brooks Automation, Inc.",Technology,Industrial Machinery/Components
BRKR,Bruker Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BMTC,Bryn Mawr Bank Corporation,Finance,Major Banks
BLMT,"BSB Bancorp, Inc.",Finance,Major Banks
BSDM,BSD Medical Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BSQR,BSQUARE Corporation,Miscellaneous,Business Services
BTUI,"BTU International, Inc.",Technology,Industrial Machinery/Components
BWLD,"Buffalo Wild Wings, Inc.",Consumer Services,Restaurants
BLDR,"Builders FirstSource, Inc.",Consumer Services,RETAIL: Building Materials
BUR,Burcon Nutrascience Corp,Miscellaneous,Multi-Sector Companies
CFFI,C&F Financial Corporation,Finance,Major Banks
CHRW,"C.H. Robinson Worldwide, Inc.",Transportation,Oil Refining/Marketing
CA,CA Inc.,Technology,Computer Software: Prepackaged Software
CCMP,Cabot Microelectronics Corporation,Technology,Semiconductors
CACH,"Cache, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
CDNS,"Cadence Design Systems, Inc.",Technology,Computer Software: Prepackaged Software
CADX,"Cadence Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CDZI,"Cadiz, Inc.",Public Utilities,Water Supply
CZR,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts
CSTE,CaesarStone Sdot-Yam Ltd.,Capital Goods,Building Materials
PRSS,CafePress Inc.,Consumer Services,Other Specialty Stores
CLMS,"Calamos Asset Management, Inc.",Finance,Investment Bankers/Brokers/Service
CHY,Calamos Convertible and High Income Fund,n/a,n/a
CHI,Calamos Convertible Opportunities and Income Fund,n/a,n/a
CHW,Calamos Global Dynamic Income Fund,n/a,n/a
CGO,Calamos Global Total Return Fund,n/a,n/a
CSQ,Calamos Strategic Total Return Fund,n/a,n/a
CAMP,CalAmp Corp.,Technology,Radio And Television Broadcasting And Communications Equipment
CVGW,"Calavo Growers, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
CFNB,California First National Bancorp,Finance,Major Banks
CALD,"Callidus Software, Inc.",Technology,EDP Services
CALM,"Cal-Maine Foods, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
CLMT,"Calumet Specialty Products Partners, L.P.",Energy,Integrated oil Companies
ABCD,"Cambium Learning Group, Inc.",Consumer Services,Publishing
CAFI,Camco Financial Corporation,Finance,Banks
CAC,Camden National Corporation,Finance,Major Banks
CAMT,Camtek Ltd.,Capital Goods,Electronic Components
CSIQ,Canadian Solar Inc.,Technology,Semiconductors
CPHC,Canterbury Park Holding Corporation,Consumer Services,Services-Misc. Amusement & Recreation
CBNJ,"Cape Bancorp, Inc.",Finance,Major Banks
CPLA,Capella Education Company,Consumer Services,Other Consumer Services
CBF,Capital Bank Financial Corp.,Finance,Major Banks
CCBG,Capital City Bank Group,Finance,Major Banks
CPLP,Capital Product Partners L.P.,Transportation,Marine Transportation
CSWC,Capital Southwest Corporation,n/a,n/a
CLAC,Capitol Acquisition Corp. II,Finance,Business Services
CLACU,Capitol Acquisition Corp. II,Finance,Business Services
CLACW,Capitol Acquisition Corp. II,Finance,Business Services
CFFN,"Capitol Federal Financial, Inc.",Finance,Savings Institutions
